HELPER ,Helper 2,NAMING CONVENTION,Inspection Task,Frequency,Unit Abb,REVIEWED COMMENTS,JB Task Assignment,Description,Measurement Type,Expected Value,Response Type
2.3CTMonthly,2.3,2.3-CT-Monthly,2.3-M-CT-1,Monthly,CT,,CHEMAQUA,"Perform chemical testing of system water. Treat as needed to ensure
water chemistry and freeze
protection target levels are
being maintained.",YesNo,Yes,Specific List
2.3CTMonthly,2.3,2.3-CT-Monthly,2.3-M-CT-2,Monthly,CT,,CHEMAQUA,"Check conductivity and other sensors for proper readings. Clean, and verify proper
operation.",YesNo,Yes,Specific List
2.3CTMonthly,2.3,2.3-CT-Monthly,2.3-M-CT-21,Monthly,CT,,CHEMAQUA,Check bleed-off valve to make sure it is operative. ,YesNo,Yes,Specific List
2.3CTQuarterly,2.3,2.3-CT-Quarterly,2.3-Q-CT-3,Quarterly,CT,,CHEMAQUA,"Inspect blowdown or drain valve. Clean, and verify proper
operation.",YesNo,Yes,Specific List
2.3CTQuarterly,2.3,2.3-CT-Quarterly,2.3-Q-CT-4,Quarterly,CT,,CHEMAQUA,"Check chemical injector device. Verify water treatment
target levels are being
maintained.",YesNo,Yes,Specific List
2.3HX(PF)Monthly,2.3,2.3-HX(PF)-Monthly,2.3-M-HX(PF)-1,Monthly,HX(PF),,CHEMAQUA,Perform chemical testing of system water. Treat as needed to ensure water chemistry and freeze protection target levels are being maintained.,YesNo,Yes,Specific List
2.3HX(ST)Monthly,2.3,2.3-HX(ST)-Monthly,2.3-M-HX(ST)-1,Monthly,HX(ST),,CHEMAQUA,Perform chemical testing of system water. Treat as needed to ensure water chemistry and freeze protection target levels are being maintained.,YesNo,Yes,Specific List
2.3SDSQuarterly,2.3,2.3-SDS-Quarterly,2.3-Q-SDS-1,Quarterly,SDS,,CHEMAQUA,"Perform chemical testing of system condensate and feed water. Verify water treatment target
levels are being maintained.",YesNo,Yes,Specific List
2.3SDSQuarterly,2.3,2.3-SDS-Quarterly,2.3-Q-SDS-6,Quarterly,SDS,,CHEMAQUA,Check chemical injector device. Verify water treatment target levels are being maintained.,YesNo,Yes,Specific List
2.3WDSMonthly,2.3,2.3-WDS-Monthly,2.3-M-WDS-1,Monthly,WDS,,CHEMAQUA,Perform chemical testing of system water. Treat as needed to ensure water chemistry and freeze protection target levels are being maintained.,YesNo,Yes,Specific List
2.3WDSQuarterly,2.3,2.3-WDS-Quarterly,2.3-Q-WDS-2,Quarterly,WDS,,CHEMAQUA,Check chemical injector device. Verify water treatment target levels are being maintained.,YesNo,Yes,Specific List
2.13COSemi-Annual,2.13,2.13-CO-Semi-Annual,2.13-SA-CO-1,Semi-Annual,CO,,CLEARBROOK,"Inspect by remotely operated video camera to assess pipe conditions and extent of cleaning efforts. This video inspection shall be recorded for future use. b.Depending on pipe conditions found perform:
",YesNo,Yes,Specific List
2.13COSemi-Annual,2.13,2.13-CO-Semi-Annual,2.13-SA-CO-1A,Semi-Annual,CO,,CLEARBROOK,"i.If pipes are generally free of debris and open, high pressure water cleaning ii.If pipes are clogged, use of mechanical means such as roto-rooter type cleaning to remove debris and physical deposition of calcite or sediments.",YesNo,Yes,Specific List
2.13CODPSemi-Annual,2.13,2.13-CODP-Semi-Annual,2.13-SA-CODP-1,Semi-Annual,CODP,,CLEARBROOK,"Inspect by remotely operated video camera to assess pipe conditions and extent of cleaning efforts. This video inspection shall be recorded for future use. b.Depending on pipe conditions found perform:
",YesNo,Yes,Specific List
2.13CODPSemi-Annual,2.13,2.13-CODP-Semi-Annual,2.13-SA-CODP-1A,Semi-Annual,CODP,,CLEARBROOK,"i.If pipes are generally free of debris and open, high pressure water cleaning ii.If pipes are clogged, use of mechanical means such as roto-rooter type cleaning to remove debris and physical deposition of calcite or sediments.",YesNo,Yes,Specific List
2.13CODP2Semi-Annual,2.13,2.13-CODP2-Semi-Annual,2.13-SA-CODP2-1,Semi-Annual,CODP2,,CLEARBROOK,"Inspect by remotely operated video camera to assess pipe conditions and extent of cleaning efforts. This video inspection shall be recorded for future use. b.Depending on pipe conditions found perform:
",YesNo,Yes,Specific List
2.13CODP2Semi-Annual,2.13,2.13-CODP2-Semi-Annual,2.13-SA-CODP2-1A,Semi-Annual,CODP2,,CLEARBROOK,"i.If pipes are generally free of debris and open, high pressure water cleaning ii.If pipes are clogged, use of mechanical means such as roto-rooter type cleaning to remove debris and physical deposition of calcite or sediments.",YesNo,Yes,Specific List
2.13CTMHSemi-Annual,2.13,2.13-CTMH-Semi-Annual,2.13-SA-CTMH-1,Semi-Annual,CTMH,,CLEARBROOK,"Inspect by remotely operated video camera to assess pipe conditions and extent of cleaning efforts. This video inspection shall be recorded for future use. b.Depending on pipe conditions found perform:
",YesNo,Yes,Specific List
2.13CTMHSemi-Annual,2.13,2.13-CTMH-Semi-Annual,2.13-SA-CTMH-1A,Semi-Annual,CTMH,,CLEARBROOK,"i.If pipes are generally free of debris and open, high pressure water cleaning ii.If pipes are clogged, use of mechanical means such as roto-rooter type cleaning to remove debris and physical deposition of calcite or sediments.",YesNo,Yes,Specific List
2.13PP3Semi-Annual,2.13,2.13-PP3-Semi-Annual,2.13-SA-PP3-1,Semi-Annual,PP3,,CLEARBROOK,"Inspect by remotely operated video camera to assess pipe conditions and extent of cleaning efforts. This video inspection shall be recorded for future use. b.Depending on pipe conditions found perform:
",YesNo,Yes,Specific List
2.13PP3Semi-Annual,2.13,2.13-PP3-Semi-Annual,2.13-SA-PP3-1A,Semi-Annual,PP3,,CLEARBROOK,"i.If pipes are generally free of debris and open, high pressure water cleaning ii.If pipes are clogged, use of mechanical means such as roto-rooter type cleaning to remove debris and physical deposition of calcite or sediments.",YesNo,Yes,Specific List
2.13SDSPSemi-Annual,2.13,2.13-SDSP-Semi-Annual,2.13-SA-SDSP-1,Semi-Annual,SDSP,,CLEARBROOK,"Inspect by remotely operated video camera to assess pipe conditions and extent of cleaning efforts. This video inspection shall be recorded for future use. b.Depending on pipe conditions found perform:
",YesNo,Yes,Specific List
2.13SDSPSemi-Annual,2.13,2.13-SDSP-Semi-Annual,2.13-SA-SDSP-1A,Semi-Annual,SDSP,,CLEARBROOK,"i.If pipes are generally free of debris and open, high pressure water cleaning ii.If pipes are clogged, use of mechanical means such as roto-rooter type cleaning to remove debris and physical deposition of calcite or sediments.",YesNo,Yes,Specific List
2.13SDSSPGSemi-Annual,2.13,2.13-SDSSPG-Semi-Annual,2.13-SA-SDSSPG-1,Semi-Annual,SDSSPG,,CLEARBROOK,"Inspect by remotely operated video camera to assess pipe conditions and extent of cleaning efforts. This video inspection shall be recorded for future use. b.Depending on pipe conditions found perform:
",YesNo,Yes,Specific List
2.13SDSSPGSemi-Annual,2.13,2.13-SDSSPG-Semi-Annual,2.13-SA-SDSSPG-1A,Semi-Annual,SDSSPG,,CLEARBROOK,"i.If pipes are generally free of debris and open, high pressure water cleaning ii.If pipes are clogged, use of mechanical means such as roto-rooter type cleaning to remove debris and physical deposition of calcite or sediments.",YesNo,Yes,Specific List
2.13SICSemi-Annual,2.13,2.13-SIC-Semi-Annual,2.13-SA-SIC-1,Semi-Annual,SIC,,CLEARBROOK,Inspect by remotely operated video camera to assess pipe conditions and extent of efforts. This video inspection shall be recorded for future use. b.Depending on chamber conditions found perform:,YesNo,Yes,Specific List
2.13SICSemi-Annual,2.13,2.13-SIC-Semi-Annual,2.13-SA-SIC-1A,Semi-Annual,SIC,,CLEARBROOK,"generally free of debris and open, high pressure water cleaning ii.If clogged, use of mechanical means such as roto-rooter type cleaning to remove debris and physical deposition of calcite or sediments.cleanings or full cleaning cycles, it will becleaning",YesNo,Yes,Specific List
2.13SPDSSemi-Annual,2.13,2.13-SPDS-Semi-Annual,2.13-SA-SPDS-1,Semi-Annual,SPDS,,CLEARBROOK,"Inspect by remotely operated video camera to assess pipe conditions and extent of cleaning efforts. This video inspection shall be recorded for future use. b.Depending on pipe conditions found perform:
",YesNo,Yes,Specific List
2.13SPDSSemi-Annual,2.13,2.13-SPDS-Semi-Annual,2.13-SA-SPDS-1A,Semi-Annual,SPDS,,CLEARBROOK,"i.If pipes are generally free of debris and open, high pressure water cleaning ii.If pipes are clogged, use of mechanical means such as roto-rooter type cleaning to remove debris and physical deposition of calcite or sediments.",YesNo,Yes,Specific List
2.13SPEWSemi-Annual,2.13,2.13-SPEW-Semi-Annual,2.13-SA-SPEW-1,Semi-Annual,SPEW,,CLEARBROOK,"Inspect by remotely operated video camera to assess pipe conditions and extent of cleaning efforts. This video inspection shall be recorded for future use. b.Depending on pipe conditions found perform:
",YesNo,Yes,Specific List
2.13SPEWSemi-Annual,2.13,2.13-SPEW-Semi-Annual,2.13-SA-SPEW-1A,Semi-Annual,SPEW,,CLEARBROOK,"i.If pipes are generally free of debris and open, high pressure water cleaning ii.If pipes are clogged, use of mechanical means such as roto-rooter type cleaning to remove debris and physical deposition of calcite or sediments.",YesNo,Yes,Specific List
2.13SPISSemi-Annual,2.13,2.13-SPIS-Semi-Annual,2.13-SA-SPIS-1,Semi-Annual,SPIS,,CLEARBROOK,"Inspect by remotely operated video camera to assess pipe conditions and extent of cleaning efforts. This video inspection shall be recorded for future use. b.Depending on pipe conditions found perform:
",YesNo,Yes,Specific List
2.13SPISSemi-Annual,2.13,2.13-SPIS-Semi-Annual,2.13-SA-SPIS-1A,Semi-Annual,SPIS,,CLEARBROOK,"i.If pipes are generally free of debris and open, high pressure water cleaning ii.If pipes are clogged, use of mechanical means such as roto-rooter type cleaning to remove debris and physical deposition of calcite or sediments.",YesNo,Yes,Specific List
2.13SPSDSemi-Annual,2.13,2.13-SPSD-Semi-Annual,2.13-SA-SPSD-1,Semi-Annual,SPSD,,CLEARBROOK,"Inspect by remotely operated video camera to assess pipe conditions and extent of cleaning efforts. This video inspection shall be recorded for future use. b.Depending on pipe conditions found perform:
",YesNo,Yes,Specific List
2.13SPSDSemi-Annual,2.13,2.13-SPSD-Semi-Annual,2.13-SA-SPSD-1A,Semi-Annual,SPSD,,CLEARBROOK,"i.If pipes are generally free of debris and open, high pressure water cleaning ii.If pipes are clogged, use of mechanical means such as roto-rooter type cleaning to remove debris and physical deposition of calcite or sediments.",YesNo,Yes,Specific List
2.13SPSD12Semi-Annual,2.13,2.13-SPSD12-Semi-Annual,2.13-SA-SPSD12-1,Semi-Annual,SPSD12,,CLEARBROOK,"Inspect by remotely operated video camera to assess pipe conditions and extent of cleaning efforts. This video inspection shall be recorded for future use. b.Depending on pipe conditions found perform:
",YesNo,Yes,Specific List
2.13SPSD12Semi-Annual,2.13,2.13-SPSD12-Semi-Annual,2.13-SA-SPSD12-1A,Semi-Annual,SPSD12,,CLEARBROOK,"i.If pipes are generally free of debris and open, high pressure water cleaning ii.If pipes are clogged, use of mechanical means such as roto-rooter type cleaning to remove debris and physical deposition of calcite or sediments.",YesNo,Yes,Specific List
2.13SPSD15Semi-Annual,2.13,2.13-SPSD15-Semi-Annual,2.13-SA-SPSD15-1,Semi-Annual,SPSD15,,CLEARBROOK,"Inspect by remotely operated video camera to assess pipe conditions and extent of cleaning efforts. This video inspection shall be recorded for future use. b.Depending on pipe conditions found perform:
",YesNo,Yes,Specific List
2.13SPSD15Semi-Annual,2.13,2.13-SPSD15-Semi-Annual,2.13-SA-SPSD15-1A,Semi-Annual,SPSD15,,CLEARBROOK,"i.If pipes are generally free of debris and open, high pressure water cleaning ii.If pipes are clogged, use of mechanical means such as roto-rooter type cleaning to remove debris and physical deposition of calcite or sediments.",YesNo,Yes,Specific List
2.13SPSD4Semi-Annual,2.13,2.13-SPSD4-Semi-Annual,2.13-SA-SPSD4-1,Semi-Annual,SPSD4,,CLEARBROOK,"Inspect by remotely operated video camera to assess pipe conditions and extent of cleaning efforts. This video inspection shall be recorded for future use. b.Depending on pipe conditions found perform:
",YesNo,Yes,Specific List
2.13SPSD4Semi-Annual,2.13,2.13-SPSD4-Semi-Annual,2.13-SA-SPSD4-1A,Semi-Annual,SPSD4,,CLEARBROOK,"i.If pipes are generally free of debris and open, high pressure water cleaning ii.If pipes are clogged, use of mechanical means such as roto-rooter type cleaning to remove debris and physical deposition of calcite or sediments.",YesNo,Yes,Specific List
2.13SPSD8Semi-Annual,2.13,2.13-SPSD8-Semi-Annual,2.13-SA-SPSD8-1,Semi-Annual,SPSD8,,CLEARBROOK,"Inspect by remotely operated video camera to assess pipe conditions and extent of cleaning efforts. This video inspection shall be recorded for future use. b.Depending on pipe conditions found perform:
",YesNo,Yes,Specific List
2.13SPSD8Semi-Annual,2.13,2.13-SPSD8-Semi-Annual,2.13-SA-SPSD8-1A,Semi-Annual,SPSD8,,CLEARBROOK,"i.If pipes are generally free of debris and open, high pressure water cleaning ii.If pipes are clogged, use of mechanical means such as roto-rooter type cleaning to remove debris and physical deposition of calcite or sediments.",YesNo,Yes,Specific List
2.13SPSWSemi-Annual,2.13,2.13-SPSW-Semi-Annual,2.13-SA-SPSW-1,Semi-Annual,SPSW,,CLEARBROOK,"Inspect by remotely operated video camera to assess pipe conditions and extent of cleaning efforts. This video inspection shall be recorded for future use. b.Depending on pipe conditions found perform:
",YesNo,Yes,Specific List
2.13SPSWSemi-Annual,2.13,2.13-SPSW-Semi-Annual,2.13-SA-SPSW-1A,Semi-Annual,SPSW,,CLEARBROOK,"i.If pipes are generally free of debris and open, high pressure water cleaning ii.If pipes are clogged, use of mechanical means such as roto-rooter type cleaning to remove debris and physical deposition of calcite or sediments.",YesNo,Yes,Specific List
2.13STDSSemi-Annual,2.13,2.13-STDS-Semi-Annual,2.13-SA-STDS-1,Semi-Annual,STDS,,CLEARBROOK,"Inspect by remotely operated video camera to assess pipe conditions and extent of cleaning efforts. This video inspection shall be recorded for future use. b.Depending on pipe conditions found perform:
",YesNo,Yes,Specific List
2.13STDSSemi-Annual,2.13,2.13-STDS-Semi-Annual,2.13-SA-STDS-1A,Semi-Annual,STDS,,CLEARBROOK,"i.If pipes are generally free of debris and open, high pressure water cleaning ii.If pipes are clogged, use of mechanical means such as roto-rooter type cleaning to remove debris and physical deposition of calcite or sediments.",YesNo,Yes,Specific List
2.13TDBS12Semi-Annual,2.13,2.13-TDBS12-Semi-Annual,2.13-SA-TDBS12-1,Semi-Annual,TDBS12,,CLEARBROOK,"Inspect by remotely operated video camera to assess pipe conditions and extent of cleaning efforts. This video inspection shall be recorded for future use. b.Depending on pipe conditions found perform:
",YesNo,Yes,Specific List
2.13TDBS12Semi-Annual,2.13,2.13-TDBS12-Semi-Annual,2.13-SA-TDBS12-1A,Semi-Annual,TDBS12,,CLEARBROOK,"i.If pipes are generally free of debris and open, high pressure water cleaning ii.If pipes are clogged, use of mechanical means such as roto-rooter type cleaning to remove debris and physical deposition of calcite or sediments.",YesNo,Yes,Specific List
2.13TDBS8Semi-Annual,2.13,2.13-TDBS8-Semi-Annual,2.13-SA-TDBS8-1,Semi-Annual,TDBS8,,CLEARBROOK,"Inspect by remotely operated video camera to assess pipe conditions and extent of cleaning efforts. This video inspection shall be recorded for future use. b.Depending on pipe conditions found perform:
",YesNo,Yes,Specific List
2.13TDBS8Semi-Annual,2.13,2.13-TDBS8-Semi-Annual,2.13-SA-TDBS8-1A,Semi-Annual,TDBS8,,CLEARBROOK,"i.If pipes are generally free of debris and open, high pressure water cleaning ii.If pipes are clogged, use of mechanical means such as roto-rooter type cleaning to remove debris and physical deposition of calcite or sediments.",YesNo,Yes,Specific List
2.13TMHGDRPSemi-Annual,2.13,2.13-TMHGDRP-Semi-Annual,2.13-SA-TMHGDRP-1,Semi-Annual,TMHGDRP,,CLEARBROOK,Inspect by remotely operated video camera to assess pipe conditions and extent of cleaning efforts. This video inspection shall be recorded for future use. The maintenance cleaning of the geodrain mat in the tunnel invert between manholes by ,YesNo,Yes,Specific List
2.13TMHGDRPSemi-Annual,2.13,2.13-TMHGDRP-Semi-Annual,2.13-SA-TMHGDRP-1A,Semi-Annual,TMHGDRP,,CLEARBROOK,injecting water into a TMGRP & observing its return in the adjacent (nearest) TMGRP located in upstream (against the slope) direction. Whether high pressure water injection is required shall be based on field observations.,YesNo,Yes,Specific List
2.17VDSSemi-Annual,2.17,2.17-VDS-Semi-Annual,2.17-SA-VDS-1,Semi-Annual,VDS,,CLEARBROOK,Inspect vortechs system for pollutant deposition. Measure sediment/pollutant depth. Record findings of inpectioon. Clean Vortechs system per Vortechs O&M manual ,YesNo,Yes,Specific List
2.17VDSSemi-Annual,2.17,2.17-VDS-Semi-Annual,2.17-SA-VDS-1A,Semi-Annual,VDS,,CLEARBROOK,when inspection reveals that the sediment depth has accumulated to within 12- 18 inches of the dry-weather water surface elevation. This determination can be made by taking two measurements with a stadia rod or similar measuring device.,YesNo,Yes,Specific List
2.16DSAnnual,2.16,2.16-DS-Annual,2.16-A-DS-1,Annual,DS,MSC - ALL OF 2.16 (VERIFY W/HIMANSHU),CONTRACTOR SPECIFIC,Inspect for cracks in the case. Inspect for loose connections or evidence of overheating. Manually operate the switch to exercise the switching mechanisms.,YesNo,Yes,Specific List
2.12PCPAnnual,2.12,2.12-PCP-Annual,2.12-A-PCP-2,Annual,PCP,"GSH/TORFI (OILMINDER), FLEET/TORFI (FLYGT), GSH/BORIS/TORFI (SULZER)",CONTRACTOR SPECIFIC,Verify pump activation and level device response to control output. Record response. Schedule any repairs as necessaary.,YesNo,Yes,Specific List
2.12PCPAnnual,2.12,2.12-PCP-Annual,2.12-A-PCP-7,Annual,PCP,"GSH/TORFI (OILMINDER), FLEET/TORFI (FLYGT), GSH/BORIS/TORFI (SULZER)",CONTRACTOR SPECIFIC,"Check control box for dirt, debris, and/or loose terminations. Clean and tighten electrical
connections as needed.",YesNo,Yes,Specific List
2.12PCPAnnual,2.12,2.12-PCP-Annual,2.12-A-PCP-8,Annual,PCP,"GSH/TORFI (OILMINDER), FLEET/TORFI (FLYGT), GSH/BORIS/TORFI (SULZER)",CONTRACTOR SPECIFIC,Check to see that softwate and backup of digital control program is current. Update when it is not current.,YesNo,Yes,Specific List
2.12PCPAnnual,2.12,2.12-PCP-Annual,2.12-A-PCP-9,Annual,PCP,"GSH/TORFI (OILMINDER), FLEET/TORFI (FLYGT), GSH/BORIS/TORFI (SULZER)",CONTRACTOR SPECIFIC,"Check battery backup and verify proper operation. Clean and maintain batteries as
needed.",YesNo,Yes,Specific List
2.12PCPQuarterly,2.12,2.12-PCP-Quarterly,2.12-Q-PCP-3,Quarterly,PCP,"GSH/TORFI (OILMINDER), FLEET/TORFI (FLYGT), GSH/BORIS/TORFI (SULZER)",CONTRACTOR SPECIFIC,Check alarms and alarm history as a basis for field inspection of mechanical equipment. Note and respond as required.,YesNo,Yes,Specific List
